1.23;-1.17;1.11;-0.05
1.28;-0.4;0.88;0.89
0.67;0.66;-0.76;0.31
-0.17;0.92;-0.41;1.08
1.56;0.4;-1.65;-0.86
0.16;1.81;0.04;0.01
1.01;-0.32;-2.81;-0.96
0.53;0.17;0.12;1.72
0.79;1.03;0.48;-1.13
0.75;-0.16;-1.01;-1.6
1.5;0.39;0.45;-0.66
0.44;0.86;-0.55;0.86
0.58;-0.23;1.52;-0.99
-0.34;-0.14;-1.09;-0.51
1.41;-0.85;0.79;0.49
1.07;-0.78;-1.86;0.77
0.72;0.03;0.46;1.69
1.36;0.99;-1.64;1.2
0.33;-0.83;0.26;-1.09
0.41;-1.12;-0.13;-1.75
0.77;-0.07;0.93;-0.69
1.06;-0.01;1.7;0.5
1.24;-1.3;0.43;-2.36
0.31;-1.11;0.47;-0.52
1.7;-0.44;-0.57;-0.26
0.73;0.66;-0.85;-0.75
1.12;-0.6;0.1;-0.28
1.27;0.28;-1.49;1.05
1.23;0.15;-2.35;0.14
0.82;0.9;-1.82;-1.3
0.47;0.74;0.19;-0.16
1;1.7;0.22;0.45
1.48;0.36;1.76;-1.42
0.42;-0.45;-1.4;0.41
0.7;0.08;0.35;-1.1
0.73;-0.69;-0.8;0.47
0.32;-0.45;-1.12;-0.14
1.82;-0.59;-0.33;-0.19
-0.23;-0.18;-0.11;-0.95
1.51;-0.42;-0.08;-0.34
1.42;-1.39;-0.71;-1.14
0.23;1.06;0.39;-0.81
0.87;0.85;-0.17;-1.4
1.81;0.56;1.09;0.66
0.17;-1.16;-1.37;-0.76
1.54;0.12;-1.34;-0.04
-0.12;-0.21;0.8;-0.25
1.34;0.09;1.24;0.63
1.88;-0.24;1.06;-2.08
1.09;0.21;1.54;1.9
0.76;-0.46;0.64;-1.06
0.71;1.57;-1.16;-0.76
0.73;0.59;-0.53;-1.42
2.28;-1.99;-0.06;0.34
1.29;-0.14;0.02;-0.64
0.44;0.25;-0.53;-0.52
0.98;-2.2;-0.06;-0.71
0.05;-1.27;1.12;-0.58
1.11;0.83;-0.68;2.39
0.62;0.57;0.18;0.83
0.5;0.38;-1.74;1.2
1.28;0.62;-0.88;-1.05
0.79;-1.39;0.44;1.43
1.15;-0.89;0.15;1.14
1.84;-0.21;-0.31;-0.82
-0.27;0.87;-0.87;0.34
1.75;-1.67;0.08;0.94
0.75;-0.72;-1.68;0.13
1.66;-0.3;-0.03;-0.7
0.92;1.15;0.88;1.08
0.48;0.72;1.08;-0.14
1.24;0.65;2.04;0.44
0.99;0.31;-0.82;0.59
1.33;-0.6;-1.21;-2.4
0.75;-0.14;1.06;0.44
0.78;0.98;0.27;0.89
0.92;0.28;2.6;0.34
0.83;-0.31;0.3;1.62
0.86;-0.79;-0.76;-0.42
1.3;-0.41;0.38;-0.68
0.41;0.5;-0.72;-1.48
0.97;0.51;3.02;0.13
0.52;-1.35;1.44;0.01
1.62;0.11;0.92;-2.52
0.63;-0.68;1.19;0.63
1.79;-0.1;1.9;0.81
1.14;1.42;0.67;-0.25
1.11;1.06;-0.4;0.95
1.16;0.45;-0.77;0.57
1.22;-0.57;0.04;-1.88
1.31;-0.78;-1.52;-1.37
0.02;0.63;-0.12;1.35
0.76;0.22;-0.45;1.05
-0.12;0.07;1.07;-1.72
1.06;0.4;1.32;2.77
1.58;-0.35;-2.02;-0.02
0.07;0.15;-1.21;-0.41
1.4;1.29;0.5;-1.62
1.46;1.12;-1.25;0.68
1.02;-0.8;-0.84;-1
